year,viv_type,mean,sd
2022,tavi_in_savr,17.99,4.804238448568833
2022,tavi_in_tavi,2.4945054945054945,1.3692952475523585
2023,tavi_in_savr,21.22,4.423491011324962
2023,tavi_in_tavi,3.4329896907216493,1.7254662201781714
2024,tavi_in_savr,25.94,5.872070513985006
2024,tavi_in_tavi,5.05,2.528124629327862
2025,tavi_in_savr,29.03,6.521843638454117
2025,tavi_in_tavi,7.0606060606060606,2.754655361302885
2026,tavi_in_savr,36.87,7.395951663586036
2026,tavi_in_tavi,8.76,2.803749293537156
2027,tavi_in_savr,43.27,7.548971433047663
2027,tavi_in_tavi,11.76,3.348812543954268
2028,tavi_in_savr,48.09,8.220564260905498
2028,tavi_in_tavi,14.96,4.585704620741163
2029,tavi_in_savr,53.04,10.000929249754035
2029,tavi_in_tavi,16.51,4.166957565602913
2030,tavi_in_savr,59.22,10.96696600862533
2030,tavi_in_tavi,19.35,4.946940693218611
2031,tavi_in_savr,61.77,10.39605111510514
2031,tavi_in_tavi,22.72,4.917665537979819
2032,tavi_in_savr,63.04,10.052307639984406
2032,tavi_in_tavi,25.33,6.3374069833589886
2033,tavi_in_savr,65.25,10.87056539096251
2033,tavi_in_tavi,28.41,5.839771339096189
2034,tavi_in_savr,68.79,11.355855517989585
2034,tavi_in_tavi,31.04,6.990498602179297
2035,tavi_in_savr,67.01,10.760472934670565
2035,tavi_in_tavi,33.06,5.834103845216305
2036,tavi_in_savr,67.0,11.835573838255923
2036,tavi_in_tavi,34.9,6.157035886617107
2037,tavi_in_savr,65.77,11.069892738980142
2037,tavi_in_tavi,37.54,6.852589276906927
2038,tavi_in_savr,65.73,10.577138487599498
2038,tavi_in_tavi,38.07,7.249179681909264
2039,tavi_in_savr,65.03,10.123934037914335
2039,tavi_in_tavi,40.05,7.088723439378913
2040,tavi_in_savr,65.51,10.436430946884613
2040,tavi_in_tavi,42.39,8.205559829847816
2041,tavi_in_savr,64.03,9.6079249696395
2041,tavi_in_tavi,45.63,7.966666666666663
2042,tavi_in_savr,65.18,11.049365812049343
2042,tavi_in_tavi,45.16,8.62544977600495
2043,tavi_in_savr,66.23,10.413525587019755
2043,tavi_in_tavi,49.65,9.167768528817676
2044,tavi_in_savr,68.62,11.666043273388182
2044,tavi_in_tavi,50.46,7.724315536346927
2045,tavi_in_savr,71.0,12.157219246109683
2045,tavi_in_tavi,53.29,8.630805760808668
2046,tavi_in_savr,70.89,11.168041525493688
2046,tavi_in_tavi,55.97,9.555214346738707
2047,tavi_in_savr,73.37,11.697064295425287
2047,tavi_in_tavi,57.22,10.30208373548426
2048,tavi_in_savr,75.15,12.293034079050091
2048,tavi_in_tavi,61.44,10.002343159823534
2049,tavi_in_savr,77.36,11.86840300541694
2049,tavi_in_tavi,60.87,10.411391391503383
2050,tavi_in_savr,78.82,12.16999124357478
2050,tavi_in_tavi,64.09,10.287871647250613
