run,year,viv_type,count
0,2022,tavi_in_savr,443
0,2022,tavi_in_tavi,64
0,2023,tavi_in_savr,541
0,2023,tavi_in_tavi,109
0,2024,tavi_in_savr,534
0,2024,tavi_in_tavi,120
0,2025,tavi_in_savr,567
0,2025,tavi_in_tavi,154
0,2026,tavi_in_savr,582
0,2026,tavi_in_tavi,213
0,2027,tavi_in_savr,622
0,2027,tavi_in_tavi,273
0,2028,tavi_in_savr,603
0,2028,tavi_in_tavi,307
0,2029,tavi_in_savr,636
0,2029,tavi_in_tavi,358
0,2030,tavi_in_savr,738
0,2030,tavi_in_tavi,407
0,2031,tavi_in_savr,688
0,2031,tavi_in_tavi,406
0,2032,tavi_in_savr,752
0,2032,tavi_in_tavi,423
0,2033,tavi_in_savr,759
0,2033,tavi_in_tavi,473
0,2034,tavi_in_savr,842
0,2034,tavi_in_tavi,554
0,2035,tavi_in_savr,809
0,2035,tavi_in_tavi,574
0,2036,tavi_in_savr,829
0,2036,tavi_in_tavi,555
0,2037,tavi_in_savr,867
0,2037,tavi_in_tavi,591
0,2038,tavi_in_savr,858
0,2038,tavi_in_tavi,595
0,2039,tavi_in_savr,845
0,2039,tavi_in_tavi,639
0,2040,tavi_in_savr,881
0,2040,tavi_in_tavi,651
0,2041,tavi_in_savr,850
0,2041,tavi_in_tavi,663
0,2042,tavi_in_savr,896
0,2042,tavi_in_tavi,757
0,2043,tavi_in_savr,914
0,2043,tavi_in_tavi,725
0,2044,tavi_in_savr,898
0,2044,tavi_in_tavi,741
0,2045,tavi_in_savr,937
0,2045,tavi_in_tavi,777
0,2046,tavi_in_savr,876
0,2046,tavi_in_tavi,794
0,2047,tavi_in_savr,921
0,2047,tavi_in_tavi,821
0,2048,tavi_in_savr,921
0,2048,tavi_in_tavi,848
0,2049,tavi_in_savr,933
0,2049,tavi_in_tavi,937
0,2050,tavi_in_savr,928
0,2050,tavi_in_tavi,946
1,2022,tavi_in_savr,454
1,2022,tavi_in_tavi,78
1,2023,tavi_in_savr,476
1,2023,tavi_in_tavi,100
1,2024,tavi_in_savr,504
1,2024,tavi_in_tavi,143
1,2025,tavi_in_savr,610
1,2025,tavi_in_tavi,154
1,2026,tavi_in_savr,604
1,2026,tavi_in_tavi,230
1,2027,tavi_in_savr,590
1,2027,tavi_in_tavi,234
1,2028,tavi_in_savr,636
1,2028,tavi_in_tavi,312
1,2029,tavi_in_savr,677
1,2029,tavi_in_tavi,351
1,2030,tavi_in_savr,675
1,2030,tavi_in_tavi,368
1,2031,tavi_in_savr,723
1,2031,tavi_in_tavi,438
1,2032,tavi_in_savr,717
1,2032,tavi_in_tavi,462
1,2033,tavi_in_savr,753
1,2033,tavi_in_tavi,462
1,2034,tavi_in_savr,770
1,2034,tavi_in_tavi,535
1,2035,tavi_in_savr,791
1,2035,tavi_in_tavi,503
1,2036,tavi_in_savr,867
1,2036,tavi_in_tavi,606
1,2037,tavi_in_savr,880
1,2037,tavi_in_tavi,607
1,2038,tavi_in_savr,831
1,2038,tavi_in_tavi,621
1,2039,tavi_in_savr,894
1,2039,tavi_in_tavi,643
1,2040,tavi_in_savr,886
1,2040,tavi_in_tavi,635
1,2041,tavi_in_savr,922
1,2041,tavi_in_tavi,734
1,2042,tavi_in_savr,854
1,2042,tavi_in_tavi,708
1,2043,tavi_in_savr,896
1,2043,tavi_in_tavi,714
1,2044,tavi_in_savr,921
1,2044,tavi_in_tavi,786
1,2045,tavi_in_savr,896
1,2045,tavi_in_tavi,775
1,2046,tavi_in_savr,890
1,2046,tavi_in_tavi,811
1,2047,tavi_in_savr,892
1,2047,tavi_in_tavi,883
1,2048,tavi_in_savr,884
1,2048,tavi_in_tavi,780
1,2049,tavi_in_savr,921
1,2049,tavi_in_tavi,904
1,2050,tavi_in_savr,952
1,2050,tavi_in_tavi,942
2,2022,tavi_in_savr,448
2,2022,tavi_in_tavi,79
2,2023,tavi_in_savr,495
2,2023,tavi_in_tavi,97
2,2024,tavi_in_savr,550
2,2024,tavi_in_tavi,132
2,2025,tavi_in_savr,567
2,2025,tavi_in_tavi,158
2,2026,tavi_in_savr,584
2,2026,tavi_in_tavi,201
2,2027,tavi_in_savr,651
2,2027,tavi_in_tavi,270
2,2028,tavi_in_savr,651
2,2028,tavi_in_tavi,287
2,2029,tavi_in_savr,657
2,2029,tavi_in_tavi,326
2,2030,tavi_in_savr,675
2,2030,tavi_in_tavi,339
2,2031,tavi_in_savr,736
2,2031,tavi_in_tavi,410
2,2032,tavi_in_savr,713
2,2032,tavi_in_tavi,436
2,2033,tavi_in_savr,757
2,2033,tavi_in_tavi,476
2,2034,tavi_in_savr,831
2,2034,tavi_in_tavi,549
2,2035,tavi_in_savr,799
2,2035,tavi_in_tavi,561
2,2036,tavi_in_savr,838
2,2036,tavi_in_tavi,588
2,2037,tavi_in_savr,872
2,2037,tavi_in_tavi,582
2,2038,tavi_in_savr,825
2,2038,tavi_in_tavi,622
2,2039,tavi_in_savr,907
2,2039,tavi_in_tavi,631
2,2040,tavi_in_savr,838
2,2040,tavi_in_tavi,656
2,2041,tavi_in_savr,904
2,2041,tavi_in_tavi,713
2,2042,tavi_in_savr,905
2,2042,tavi_in_tavi,721
2,2043,tavi_in_savr,930
2,2043,tavi_in_tavi,732
2,2044,tavi_in_savr,863
2,2044,tavi_in_tavi,742
2,2045,tavi_in_savr,890
2,2045,tavi_in_tavi,773
2,2046,tavi_in_savr,866
2,2046,tavi_in_tavi,805
2,2047,tavi_in_savr,918
2,2047,tavi_in_tavi,803
2,2048,tavi_in_savr,931
2,2048,tavi_in_tavi,868
2,2049,tavi_in_savr,932
2,2049,tavi_in_tavi,911
2,2050,tavi_in_savr,984
2,2050,tavi_in_tavi,933
3,2022,tavi_in_savr,460
3,2022,tavi_in_tavi,85
3,2023,tavi_in_savr,487
3,2023,tavi_in_tavi,100
3,2024,tavi_in_savr,567
3,2024,tavi_in_tavi,120
3,2025,tavi_in_savr,546
3,2025,tavi_in_tavi,186
3,2026,tavi_in_savr,599
3,2026,tavi_in_tavi,207
3,2027,tavi_in_savr,637
3,2027,tavi_in_tavi,262
3,2028,tavi_in_savr,627
3,2028,tavi_in_tavi,278
3,2029,tavi_in_savr,658
3,2029,tavi_in_tavi,322
3,2030,tavi_in_savr,712
3,2030,tavi_in_tavi,352
3,2031,tavi_in_savr,698
3,2031,tavi_in_tavi,410
3,2032,tavi_in_savr,748
3,2032,tavi_in_tavi,441
3,2033,tavi_in_savr,763
3,2033,tavi_in_tavi,492
3,2034,tavi_in_savr,783
3,2034,tavi_in_tavi,498
3,2035,tavi_in_savr,812
3,2035,tavi_in_tavi,541
3,2036,tavi_in_savr,838
3,2036,tavi_in_tavi,595
3,2037,tavi_in_savr,865
3,2037,tavi_in_tavi,618
3,2038,tavi_in_savr,891
3,2038,tavi_in_tavi,636
3,2039,tavi_in_savr,871
3,2039,tavi_in_tavi,646
3,2040,tavi_in_savr,970
3,2040,tavi_in_tavi,637
3,2041,tavi_in_savr,861
3,2041,tavi_in_tavi,677
3,2042,tavi_in_savr,890
3,2042,tavi_in_tavi,763
3,2043,tavi_in_savr,924
3,2043,tavi_in_tavi,694
3,2044,tavi_in_savr,857
3,2044,tavi_in_tavi,784
3,2045,tavi_in_savr,848
3,2045,tavi_in_tavi,772
3,2046,tavi_in_savr,905
3,2046,tavi_in_tavi,787
3,2047,tavi_in_savr,865
3,2047,tavi_in_tavi,851
3,2048,tavi_in_savr,942
3,2048,tavi_in_tavi,873
3,2049,tavi_in_savr,882
3,2049,tavi_in_tavi,906
