procedure,year,sex,age_band,count,population,risk
tavi,2023,Men,70-74,61,314000,0.0001942675159235669
tavi,2023,Men,75-79,175,269000,0.0006505576208178438
tavi,2023,Men,>=80,722,197000,0.00366497461928934
redo_savr,2023,Women,20-24,2,902000,2.2172949002217296e-06
redo_savr,2023,Women,25-29,1,969000,1.0319917440660475e-06
redo_savr,2023,Women,30-34,3,962000,3.1185031185031185e-06
redo_savr,2023,Women,35-39,1,899000,1.1123470522803115e-06
redo_savr,2023,Women,40-44,3,830000,3.614457831325301e-06
redo_savr,2023,Women,45-49,3,851000,3.525264394829612e-06
redo_savr,2023,Women,50-54,8,1099000,7.279344858962693e-06
redo_savr,2023,Women,55-59,8,980000,8.163265306122448e-06
redo_savr,2023,Women,60-64,13,763000,1.7038007863695936e-05
redo_savr,2023,Women,65-69,18,609000,2.955665024630542e-05
redo_savr,2023,Women,70-74,13,400000,3.25e-05
redo_savr,2023,Women,75-79,9,406000,2.2167487684729063e-05
redo_savr,2023,Women,>=80,10,438000,2.2831050228310503e-05
savr,2023,Women,10-14,1,790000,1.2658227848101265e-06
savr,2023,Women,15-19,3,811000,3.6991368680641185e-06
savr,2023,Women,20-24,3,902000,3.325942350332594e-06
savr,2023,Women,25-29,5,969000,5.159958720330238e-06
savr,2023,Women,30-34,6,962000,6.237006237006237e-06
savr,2023,Women,35-39,7,899000,7.78642936596218e-06
savr,2023,Women,40-44,10,830000,1.2048192771084337e-05
savr,2023,Women,45-49,23,851000,2.7027027027027027e-05
savr,2023,Women,5-9,3,819000,3.663003663003663e-06
savr,2023,Women,50-54,62,1099000,5.6414922656960876e-05
savr,2023,Women,55-59,91,980000,9.285714285714286e-05
savr,2023,Women,60-64,166,763000,0.00021756225425950196
savr,2023,Women,65-69,182,609000,0.00029885057471264366
savr,2023,Women,70-74,215,400000,0.0005375
savr,2023,Women,75-79,167,406000,0.0004113300492610837
savr,2023,Women,>=80,90,438000,0.00020547945205479453
tavi,2023,Women,20-24,2,902000,2.2172949002217296e-06
tavi,2023,Women,25-29,1,969000,1.0319917440660475e-06
tavi,2023,Women,30-34,3,962000,3.1185031185031185e-06
tavi,2023,Women,35-39,1,899000,1.1123470522803115e-06
tavi,2023,Women,40-44,3,830000,3.614457831325301e-06
tavi,2023,Women,45-49,3,851000,3.525264394829612e-06
tavi,2023,Women,50-54,8,1099000,7.279344858962693e-06
tavi,2023,Women,55-59,8,980000,8.163265306122448e-06
tavi,2023,Women,60-64,13,763000,1.7038007863695936e-05
tavi,2023,Women,65-69,18,609000,2.955665024630542e-05
tavi,2023,Women,70-74,13,400000,3.25e-05
tavi,2023,Women,75-79,9,406000,2.2167487684729063e-05
tavi,2023,Women,>=80,10,438000,2.2831050228310503e-05
